Owner,Quotes
Tony Robbins,"60. People who succeed have momentum. The more they succeed, the more they want to succeed, and the more they find a way to succeed. Similarly, when someone is failing, the tendency is to get on a downward spiral that can even become a self-fulfilling prophecy."
John Lennon,"61. When I was 5 years old, my mother always told me that happiness was the key to life. When I went to school, they asked me what I wanted to be when I grew up. I wrote down “happy”. They told me I didn’t understand the assignment, and I told them they didn’t understand life."
Henry Ward Beecher,62. Ones best success comes after their greatest disappointments. Henry
Timothy Ferris,"63. The fishing is best where the fewest go, and the collective insecurity of the world makes it easy for people to hit home runs while everyone else is aiming for base hits. There is just less competition for bigger goals. If you are insecure, guess what? The rest of the world is, too. Do not overestimate the competition and underestimate yourself. You are better than you think."
Beverly Abamo,"64. It’s not about time, it’s about choices. How are you spending your choices?"
Unknown,65. You will succeed because most people are
Napoleon Hill,66. The starting point of all achievement is desire.
Unknown,67. If you want to achieve greatness stop asking for
Martha Stewart,"68. I find that when you have a real interest in life and a curious life, that sleep is not the most important thing."
Admiral William Frederick Halsey Jr.,"69. There are no great men. Just great challenges which ordinary men, out of necessity, are forced by circumstance to meet. Admiral William Frederick"
Vidal Sassoon,70. The only place where success comes before work is in the dictionary.
Unknown,71. Some people develop a wish bone where their back bone should
Michael John Bobak,72. All progress takes place outside the comfort zone. Michael
Jack Kornfield,"73. No matter how hard the past is, you can always begin again."
Bradley Whitford,"74. Infuse your life with action. Don’t wait for it to happen. Make it happen. Make your own future. Make your own hope. Make your own love. And whatever your beliefs, honor your creator, not by passively waiting for grace to come down from upon high, but by doing what you can to make grace happen… yourself, right now, right down here on Earth."
Christopher Columbus,75. You can never cross the ocean unless you have the courage to lose sight of the shore.
Jim Rohn,76. If you are not willing to risk the usual you will have to settle for the ordinary.
Dennis Waitely,"77. There are two primary choices in life; to accept conditions as they exist, or to accept the responsibility for changing them."
Olaf Isachsen,"78. More often than not, successful entrepreneurs are givers and not takers of positive energy."
